BCAC_FM_REGION	CHROM	FM_REGION_START	FM_REGION_END
BCAC_FM_12	chr2	171876221	173472971
BCAC_FM_13	chr2	173710908	174712894
BCAC_FM_14	chr2	201681247	202681247
BCAC_FM_15	chr2	217405832	218796508
BCAC_FM_80	chr3	86537543	87537543
BCAC_FM_20	chr3	63441697	64467900
BCAC_FM_19	chr3	46366866	47381488
BCAC_FM_17	chr3	26827965	28285247
BCAC_FM_18	chr3	30175880	31175880
BCAC_FM_16	chr3	4242276	5242276
BCAC_FM_109	chr3	99223580	100223580
BCAC_FM_110	chr3	140612859	141612859
BCAC_FM_111	chr3	171785237	172785237
BCAC_FM_112	chr4	38312876	39312876
BCAC_FM_86	chr4	83870124	84870124
BCAC_FM_21	chr4	105569013	106856761
BCAC_FM_22	chr4	175328036	176346426
BCAC_FM_26	chr5	44013304	45206498
BCAC_FM_25	chr5	32067732	33067732
BCAC_FM_24	chr5	15687358	16687528
BCAC_FM_23	chr5	779790	1797488
BCAC_FM_87	chr5	49141645	50695093
BCAC_FM_27	chr5	55531884	56587883
BCAC_FM_28	chr5	57684061	58865569
BCAC_FM_29	chr5	80928261	82038046
BCAC_FM_116	chr5	90289470	91289470
BCAC_FM_118	chr5	131907058	132907058
BCAC_FM_30	chr5	157730013	158744083
BCAC_FM_119	chr5	169091487	170091487
BCAC_FM_33	chr6	28422437	29426220
BCAC_FM_120	chr6	15899557	16899557
BCAC_FM_121	chr6	20121238	21121238
BCAC_FM_32	chr6	13213099	14222523
BCAC_FM_34	chr6	81628386	82795951
BCAC_FM_124	chr6	129849119	130849119
BCAC_FM_35	chr6	151418856	152937016
BCAC_FM_125	chr6	149086328	150086328
BCAC_FM_126	chr7	21440960	22440960
BCAC_FM_36	chr7	91130620	92181597
BCAC_FM_128	chr7	93613799	94613799
BCAC_FM_88	chr7	101054599	102054599
BCAC_FM_37	chr7	130167121	131167121
BCAC_FM_158	chr7	139442304	140442304
BCAC_FM_38	chr7	143574929	144574929
BCAC_FM_40	chr8	36358483	37359186
BCAC_FM_39	chr8	29009616	30009616
BCAC_FM_164	chr8	0	670692
BCAC_FM_41	chr8	75730301	76917937
BCAC_FM_129	chr8	101978959	102978959
BCAC_FM_130	chr8	105858620	106861393
BCAC_FM_42	chr8	116709548	117709548
BCAC_FM_131	chr8	124110166	125110166
BCAC_FM_43	chr8	127424659	130041931
BCAC_FM_44	chr9	21247803	22624477
BCAC_FM_45	chr9	109803808	111395353
BCAC_FM_132	chr9	118813486	119813486
